sample,elapsed_ms,local_rx_packets,local_rx_delta,local_anchor_seq,local_frame_gaps,local_frame_gap_delta,remote_tx_success,remote_tx_success_delta,remote_tx_failed,remote_anchors_received,remote_anchor_delta,remote_anchor_seq,remote_anchor_seq_gaps,remote_anchor_gap_delta,remote_offset_us,remote_skew_us,remote_skew_min_us,remote_skew_max_us,remote_max_master_delta_us,remote_max_local_delta_us
0,0,811,0,42,2,0,28,0,0,28,0,80,0,0,366792296,1000,-333000,3000,433000,102000
1,2000,1957,1146,164,8,6,79,51,1,79,51,132,5,5,366792296,-2000,-333000,69000,433000,200000
2,4000,3106,1149,33,15,7,128,49,4,128,49,129,12,7,366793296,1000,-370826296,370926296,370926296,300000
3,6000,4307,1201,210,18,3,177,49,7,177,49,235,18,6,366792296,-1000,-370826296,370926296,370926296,300000
